rewardId,itemId,conditionType,conditionValue,rewardCurrency,rewardAmount,rewardItemId,rewardItemCount,claimId,sortOrder,isEnabled,notes
codex_fish_filefish_count_10,fish_filefish,count,10,,0,ticket_basic,1,codex:fish:fish_filefish:count10,2102,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_filefish_count_100,fish_filefish,count,100,,0,ticket_basic,1,codex:fish:fish_filefish:count100,2103,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_croaker_count_1,fish_croaker,count,1,,0,ticket_basic,1,codex:fish:fish_croaker:discovery,2201,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_croaker_count_10,fish_croaker,count,10,,0,ticket_basic,1,codex:fish:fish_croaker:count10,2202,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_croaker_count_100,fish_croaker,count,100,,0,ticket_basic,1,codex:fish:fish_croaker:count100,2203,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_octopus_count_1,fish_octopus,count,1,,0,ticket_basic,1,codex:fish:fish_octopus:discovery,2301,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_octopus_count_10,fish_octopus,count,10,,0,ticket_basic,1,codex:fish:fish_octopus:count10,2302,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_octopus_count_100,fish_octopus,count,100,,0,ticket_basic,1,codex:fish:fish_octopus:count100,2303,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_yellowtail_count_1,fish_yellowtail,count,1,,0,ticket_basic,1,codex:fish:fish_yellowtail:discovery,2401,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_yellowtail_count_10,fish_yellowtail,count,10,,0,ticket_basic,1,codex:fish:fish_yellowtail:count10,2402,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_yellowtail_count_100,fish_yellowtail,count,100,,0,ticket_basic,1,codex:fish:fish_yellowtail:count100,2403,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_seabass_count_1,fish_seabass,count,1,,0,ticket_basic,1,codex:fish:fish_seabass:discovery,2501,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_seabass_count_10,fish_seabass,count,10,,0,ticket_basic,1,codex:fish:fish_seabass:count10,2502,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_seabass_count_100,fish_seabass,count,100,,0,ticket_basic,1,codex:fish:fish_seabass:count100,2503,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_cuttlefish_count_1,fish_cuttlefish,count,1,,0,ticket_basic,1,codex:fish:fish_cuttlefish:discovery,2601,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_cuttlefish_count_10,fish_cuttlefish,count,10,,0,ticket_basic,1,codex:fish:fish_cuttlefish:count10,2602,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_cuttlefish_count_100,fish_cuttlefish,count,100,,0,ticket_basic,1,codex:fish:fish_cuttlefish:count100,2603,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_amberjack_count_1,fish_amberjack,count,1,,0,ticket_basic,1,codex:fish:fish_amberjack:discovery,2701,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_amberjack_count_10,fish_amberjack,count,10,,0,ticket_basic,1,codex:fish:fish_amberjack:count10,2702,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_amberjack_count_100,fish_amberjack,count,100,,0,ticket_basic,1,codex:fish:fish_amberjack:count100,2703,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_sunfish_count_1,fish_sunfish,count,1,,0,ticket_basic,1,codex:fish:fish_sunfish:discovery,2801,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_sunfish_count_10,fish_sunfish,count,10,,0,ticket_basic,1,codex:fish:fish_sunfish:count10,2802,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_sunfish_count_100,fish_sunfish,count,100,,0,ticket_basic,1,codex:fish:fish_sunfish:count100,2803,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_swordfish_count_1,fish_swordfish,count,1,,0,ticket_basic,1,codex:fish:fish_swordfish:discovery,2901,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_swordfish_count_10,fish_swordfish,count,10,,0,ticket_basic,1,codex:fish:fish_swordfish:count10,2902,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_swordfish_count_100,fish_swordfish,count,100,,0,ticket_basic,1,codex:fish:fish_swordfish:count100,2903,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_moray_count_1,fish_moray,count,1,,0,ticket_basic,1,codex:fish:fish_moray:discovery,3001,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_moray_count_10,fish_moray,count,10,,0,ticket_basic,1,codex:fish:fish_moray:count10,3002,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_moray_count_100,fish_moray,count,100,,0,ticket_basic,1,codex:fish:fish_moray:count100,3003,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_scorpionfish_count_1,fish_scorpionfish,count,1,,0,ticket_basic,1,codex:fish:fish_scorpionfish:discovery,3101,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_scorpionfish_count_10,fish_scorpionfish,count,10,,0,ticket_basic,1,codex:fish:fish_scorpionfish:count10,3102,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_scorpionfish_count_100,fish_scorpionfish,count,100,,0,ticket_basic,1,codex:fish:fish_scorpionfish:count100,3103,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_oarfish_count_1,fish_oarfish,count,1,,0,ticket_basic,1,codex:fish:fish_oarfish:discovery,3201,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_oarfish_count_10,fish_oarfish,count,10,,0,ticket_basic,1,codex:fish:fish_oarfish:count10,3202,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_oarfish_count_100,fish_oarfish,count,100,,0,ticket_basic,1,codex:fish:fish_oarfish:count100,3203,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_kingcrab_count_1,fish_kingcrab,count,1,,0,ticket_basic,1,codex:fish:fish_kingcrab:discovery,3301,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_kingcrab_count_10,fish_kingcrab,count,10,,0,ticket_basic,1,codex:fish:fish_kingcrab:count10,3302,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_kingcrab_count_100,fish_kingcrab,count,100,,0,ticket_basic,1,codex:fish:fish_kingcrab:count100,3303,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_deepseashrimp_count_1,fish_deepseashrimp,count,1,,0,ticket_basic,1,codex:fish:fish_deepseashrimp:discovery,3401,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_deepseashrimp_count_10,fish_deepseashrimp,count,10,,0,ticket_basic,1,codex:fish:fish_deepseashrimp:count10,3402,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_deepseashrimp_count_100,fish_deepseashrimp,count,100,,0,ticket_basic,1,codex:fish:fish_deepseashrimp:count100,3403,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_manta_count_1,fish_manta,count,1,,0,ticket_basic,1,codex:fish:fish_manta:discovery,3501,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_manta_count_10,fish_manta,count,10,,0,ticket_basic,1,codex:fish:fish_manta:count10,3502,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_manta_count_100,fish_manta,count,100,,0,ticket_basic,1,codex:fish:fish_manta:count100,3503,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_coelacanth_count_1,fish_coelacanth,count,1,,0,ticket_basic,1,codex:fish:fish_coelacanth:discovery,3601,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_coelacanth_count_10,fish_coelacanth,count,10,,0,ticket_basic,1,codex:fish:fish_coelacanth:count10,3602,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_coelacanth_count_100,fish_coelacanth,count,100,,0,ticket_basic,1,codex:fish:fish_coelacanth:count100,3603,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_greatwhite_count_1,fish_greatwhite,count,1,,0,ticket_basic,1,codex:fish:fish_greatwhite:discovery,3701,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_greatwhite_count_10,fish_greatwhite,count,10,,0,ticket_basic,1,codex:fish:fish_greatwhite:count10,3702,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_greatwhite_count_100,fish_greatwhite,count,100,,0,ticket_basic,1,codex:fish:fish_greatwhite:count100,3703,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_giant_squid_count_1,fish_giant_squid,count,1,,0,ticket_basic,1,codex:fish:fish_giant_squid:discovery,3801,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_giant_squid_count_10,fish_giant_squid,count,10,,0,ticket_basic,1,codex:fish:fish_giant_squid:count10,3802,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_giant_squid_count_100,fish_giant_squid,count,100,,0,ticket_basic,1,codex:fish:fish_giant_squid:count100,3803,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_dragonfish_count_1,fish_dragonfish,count,1,,0,ticket_basic,1,codex:fish:fish_dragonfish:discovery,3901,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_dragonfish_count_10,fish_dragonfish,count,10,,0,ticket_basic,1,codex:fish:fish_dragonfish:count10,3902,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_dragonfish_count_100,fish_dragonfish,count,100,,0,ticket_basic,1,codex:fish:fish_dragonfish:count100,3903,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_grilled_anchovy_count_1,food_grilled_anchovy,count,1,,0,ticket_basic,1,codex:cooking:food_grilled_anchovy:discovery,6001,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_grilled_anchovy_count_10,food_grilled_anchovy,count,10,,0,ticket_basic,1,codex:cooking:food_grilled_anchovy:count10,6002,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_grilled_anchovy_count_100,food_grilled_anchovy,count,100,,0,ticket_basic,1,codex:cooking:food_grilled_anchovy:count100,6003,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_grilled_mackerel_count_1,food_grilled_mackerel,count,1,,0,ticket_basic,1,codex:cooking:food_grilled_mackerel:discovery,6101,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_grilled_mackerel_count_10,food_grilled_mackerel,count,10,,0,ticket_basic,1,codex:cooking:food_grilled_mackerel:count10,6102,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_grilled_mackerel_count_100,food_grilled_mackerel,count,100,,0,ticket_basic,1,codex:cooking:food_grilled_mackerel:count100,6103,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_saury_stew_count_1,food_saury_stew,count,1,,0,ticket_basic,1,codex:cooking:food_saury_stew:discovery,6201,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_saury_stew_count_10,food_saury_stew,count,10,,0,ticket_basic,1,codex:cooking:food_saury_stew:count10,6202,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_saury_stew_count_100,food_saury_stew,count,100,,0,ticket_basic,1,codex:cooking:food_saury_stew:count100,6203,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_flatfish_soup_count_1,food_flatfish_soup,count,1,,0,ticket_basic,1,codex:cooking:food_flatfish_soup:discovery,6301,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_flatfish_soup_count_10,food_flatfish_soup,count,10,,0,ticket_basic,1,codex:cooking:food_flatfish_soup:count10,6302,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_flatfish_soup_count_100,food_flatfish_soup,count,100,,0,ticket_basic,1,codex:cooking:food_flatfish_soup:count100,6303,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_hairtail_grill_count_1,food_hairtail_grill,count,1,,0,ticket_basic,1,codex:cooking:food_hairtail_grill:discovery,6401,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_hairtail_grill_count_10,food_hairtail_grill,count,10,,0,ticket_basic,1,codex:cooking:food_hairtail_grill:count10,6402,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_hairtail_grill_count_100,food_hairtail_grill,count,100,,0,ticket_basic,1,codex:cooking:food_hairtail_grill:count100,6403,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_rockfish_stew_count_1,food_rockfish_stew,count,1,,0,ticket_basic,1,codex:cooking:food_rockfish_stew:discovery,6501,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_rockfish_stew_count_10,food_rockfish_stew,count,10,,0,ticket_basic,1,codex:cooking:food_rockfish_stew:count10,6502,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_rockfish_stew_count_100,food_rockfish_stew,count,100,,0,ticket_basic,1,codex:cooking:food_rockfish_stew:count100,6503,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_croaker_octopus_grill_count_1,food_croaker_octopus_grill,count,1,,0,ticket_basic,1,codex:cooking:food_croaker_octopus_grill:discovery,6601,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_croaker_octopus_grill_count_10,food_croaker_octopus_grill,count,10,,0,ticket_basic,1,codex:cooking:food_croaker_octopus_grill:count10,6602,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_croaker_octopus_grill_count_100,food_croaker_octopus_grill,count,100,,0,ticket_basic,1,codex:cooking:food_croaker_octopus_grill:count100,6603,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_yellowtail_sashimi_count_1,food_yellowtail_sashimi,count,1,,0,ticket_basic,1,codex:cooking:food_yellowtail_sashimi:discovery,6701,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_yellowtail_sashimi_count_10,food_yellowtail_sashimi,count,10,,0,ticket_basic,1,codex:cooking:food_yellowtail_sashimi:count10,6702,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_yellowtail_sashimi_count_100,food_yellowtail_sashimi,count,100,,0,ticket_basic,1,codex:cooking:food_yellowtail_sashimi:count100,6703,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_cuttlefish_amberjack_hotpot_count_1,food_cuttlefish_amberjack_hotpot,count,1,,0,ticket_basic,1,codex:cooking:food_cuttlefish_amberjack_hotpot:discovery,6801,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_cuttlefish_amberjack_hotpot_count_10,food_cuttlefish_amberjack_hotpot,count,10,,0,ticket_basic,1,codex:cooking:food_cuttlefish_amberjack_hotpot:count10,6802,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_cuttlefish_amberjack_hotpot_count_100,food_cuttlefish_amberjack_hotpot,count,100,,0,ticket_basic,1,codex:cooking:food_cuttlefish_amberjack_hotpot:count100,6803,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_sunfish_steak_count_1,food_sunfish_steak,count,1,,0,ticket_basic,1,codex:cooking:food_sunfish_steak:discovery,6901,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_sunfish_steak_count_10,food_sunfish_steak,count,10,,0,ticket_basic,1,codex:cooking:food_sunfish_steak:count10,6902,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_sunfish_steak_count_100,food_sunfish_steak,count,100,,0,ticket_basic,1,codex:cooking:food_sunfish_steak:count100,6903,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_swordfish_platter_count_1,food_swordfish_platter,count,1,,0,ticket_basic,1,codex:cooking:food_swordfish_platter:discovery,7001,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_swordfish_platter_count_10,food_swordfish_platter,count,10,,0,ticket_basic,1,codex:cooking:food_swordfish_platter:count10,7002,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_swordfish_platter_count_100,food_swordfish_platter,count,100,,0,ticket_basic,1,codex:cooking:food_swordfish_platter:count100,7003,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_moray_scorpion_soup_count_1,food_moray_scorpion_soup,count,1,,0,ticket_basic,1,codex:cooking:food_moray_scorpion_soup:discovery,7101,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_moray_scorpion_soup_count_10,food_moray_scorpion_soup,count,10,,0,ticket_basic,1,codex:cooking:food_moray_scorpion_soup:count10,7102,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_moray_scorpion_soup_count_100,food_moray_scorpion_soup,count,100,,0,ticket_basic,1,codex:cooking:food_moray_scorpion_soup:count100,7103,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_oarfish_kingcrab_roast_count_1,food_oarfish_kingcrab_roast,count,1,,0,ticket_basic,1,codex:cooking:food_oarfish_kingcrab_roast:discovery,7201,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_oarfish_kingcrab_roast_count_10,food_oarfish_kingcrab_roast,count,10,,0,ticket_basic,1,codex:cooking:food_oarfish_kingcrab_roast:count10,7202,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_oarfish_kingcrab_roast_count_100,food_oarfish_kingcrab_roast,count,100,,0,ticket_basic,1,codex:cooking:food_oarfish_kingcrab_roast:count100,7203,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_deepsea_manta_curry_count_1,food_deepsea_manta_curry,count,1,,0,ticket_basic,1,codex:cooking:food_deepsea_manta_curry:discovery,7301,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_deepsea_manta_curry_count_10,food_deepsea_manta_curry,count,10,,0,ticket_basic,1,codex:cooking:food_deepsea_manta_curry:count10,7302,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_deepsea_manta_curry_count_100,food_deepsea_manta_curry,count,100,,0,ticket_basic,1,codex:cooking:food_deepsea_manta_curry:count100,7303,TRUE,누적 획득 100회 티켓 보상입니다.
codex_food_coelacanth_greatwhite_feast_count_1,food_coelacanth_greatwhite_feast,count,1,,0,ticket_basic,1,codex:cooking:food_coelacanth_greatwhite_feast:discovery,7401,TRUE,누적 획득 1회 티켓 보상입니다.
codex_food_coelacanth_greatwhite_feast_count_10,food_coelacanth_greatwhite_feast,count,10,,0,ticket_basic,1,codex:cooking:food_coelacanth_greatwhite_feast:count10,7402,TRUE,누적 획득 10회 티켓 보상입니다.
codex_food_coelacanth_greatwhite_feast_count_100,food_coelacanth_greatwhite_feast,count,100,,0,ticket_basic,1,codex:cooking:food_coelacanth_greatwhite_feast:count100,7403,TRUE,누적 획득 100회 티켓 보상입니다.
