stageId,fishId,spawnWeight,isEnabled,applyMode,sourceSheet,sourceRange,notes
2-3,fish_croaker,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-3,fish_octopus,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-3,fish_yellowtail,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_croaker,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_octopus,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_yellowtail,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_seabass,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_cuttlefish,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-4,fish_amberjack,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_croaker,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_seabass,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_cuttlefish,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_amberjack,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_sunfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-5,fish_swordfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-1,fish_moray,7,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-1,fish_scorpionfish,8,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-2,fish_moray,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-2,fish_scorpionfish,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-2,fish_oarfish,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-2,fish_kingcrab,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-3,fish_scorpionfish,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-3,fish_oarfish,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-3,fish_kingcrab,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-3,fish_deepseashrimp,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_scorpionfish,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_oarfish,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_kingcrab,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_deepseashrimp,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_manta,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-4,fish_coelacanth,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_scorpionfish,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_manta,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_coelacanth,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_greatwhite,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_giant_squid,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
3-5,fish_dragonfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_anchovy,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_croaker,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_filefish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_mackerel,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_moray,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_rockfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_saury,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_scorpionfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_cuttlefish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_deepseashrimp,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_flatfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_hairtail,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_kingcrab,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_manta,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_oarfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_octopus,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_pollock,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_seabass,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_squid,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_yellowtail,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_amberjack,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_bluefinTuna,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_coelacanth,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_giant_squid,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_greatwhite,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_puffer,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_snapper,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_sunfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_dragonfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
multiplay_arena,fish_swordfish,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
